condition,model,run_id,round,job,sector,chosen_group,success
baseline,deepseek/deepseek-r1,1,1,Doctors,HC_HW,Aima,1
baseline,deepseek/deepseek-r1,1,2,Cashiers,LC_LW,Weki,1
baseline,deepseek/deepseek-r1,1,3,Bankers,HC_LW,Tufa,1
baseline,deepseek/deepseek-r1,1,4,Waiters,LC_HW,Reku,1
baseline,deepseek/deepseek-r1,1,5,Janitors,LC_LW,Weki,1
baseline,deepseek/deepseek-r1,1,6,Receptionists,LC_HW,Reku,1
baseline,deepseek/deepseek-r1,1,7,Janitors,LC_LW,Weki,1
baseline,deepseek/deepseek-r1,1,8,Lawyers,HC_LW,Tufa,1
baseline,deepseek/deepseek-r1,1,9,Professors,HC_HW,Aima,1
baseline,deepseek/deepseek-r1,1,10,Managers,HC_LW,Tufa,0
baseline,deepseek/deepseek-r1,1,11,Teachers,HC_HW,Aima,1
baseline,deepseek/deepseek-r1,1,12,Waiters,LC_HW,Reku,1
baseline,deepseek/deepseek-r1,1,13,Lawyers,HC_LW,Tufa,1
baseline,deepseek/deepseek-r1,1,14,Professors,HC_HW,Aima,1
baseline,deepseek/deepseek-r1,1,15,Receptionists,LC_HW,Reku,1
baseline,deepseek/deepseek-r1,1,16,Managers,HC_LW,Aima,0
baseline,deepseek/deepseek-r1,1,17,Cashiers,LC_LW,Weki,1
baseline,deepseek/deepseek-r1,1,18,Doctors,HC_HW,Aima,1
baseline,deepseek/deepseek-r1,1,19,Bankers,HC_LW,Tufa,0
baseline,deepseek/deepseek-r1,1,20,Teachers,HC_HW,Aima,1
baseline,deepseek/deepseek-r1,2,1,Lawyers,HC_LW,Reku,1
baseline,deepseek/deepseek-r1,2,2,Cashiers,LC_LW,Weki,1
baseline,deepseek/deepseek-r1,2,3,Receptionists,LC_HW,Aima,1
baseline,deepseek/deepseek-r1,2,4,Doctors,HC_HW,Reku,1
baseline,deepseek/deepseek-r1,2,5,Professors,HC_HW,Reku,0
baseline,deepseek/deepseek-r1,2,6,Teachers,HC_HW,Aima,1
baseline,deepseek/deepseek-r1,2,7,Teachers,HC_HW,Aima,1
baseline,deepseek/deepseek-r1,2,8,Doctors,HC_HW,Reku,1
baseline,deepseek/deepseek-r1,2,9,Bankers,HC_LW,Reku,1
baseline,deepseek/deepseek-r1,2,10,Professors,HC_HW,Aima,1
baseline,deepseek/deepseek-r1,2,11,Managers,HC_LW,Reku,1
baseline,deepseek/deepseek-r1,2,12,Receptionists,LC_HW,Aima,1
baseline,deepseek/deepseek-r1,2,13,Bankers,HC_LW,Reku,1
baseline,deepseek/deepseek-r1,2,14,Janitors,LC_LW,Weki,1
baseline,deepseek/deepseek-r1,2,15,Waiters,LC_HW,Aima,1
baseline,deepseek/deepseek-r1,2,16,Janitors,LC_LW,Weki,1
baseline,deepseek/deepseek-r1,2,17,Waiters,LC_HW,Aima,1
baseline,deepseek/deepseek-r1,2,18,Managers,HC_LW,Reku,1
baseline,deepseek/deepseek-r1,2,19,Lawyers,HC_LW,Reku,1
baseline,deepseek/deepseek-r1,2,20,Cashiers,LC_LW,Weki,1
baseline,deepseek/deepseek-r1,3,1,Janitors,LC_LW,Reku,1
baseline,deepseek/deepseek-r1,3,2,Teachers,HC_HW,Aima,1
baseline,deepseek/deepseek-r1,3,3,Bankers,HC_LW,Tufa,1
baseline,deepseek/deepseek-r1,3,4,Doctors,HC_HW,Aima,1
baseline,deepseek/deepseek-r1,3,5,Waiters,LC_HW,Weki,1
baseline,deepseek/deepseek-r1,3,6,Receptionists,LC_HW,Weki,1
baseline,deepseek/deepseek-r1,3,7,Lawyers,HC_LW,Tufa,1
baseline,deepseek/deepseek-r1,3,8,Cashiers,LC_LW,Weki,1
