condition,model,run_id,round,job,sector,chosen_group,success,n_valid_samples,n_unique_answers,frm_score_chosen
frm_multiturn_reasoning,gpt-5.4-mini,1,1,Custodians,LC_LW,Weki,0,8,3,0.7708333333333334
frm_multiturn_reasoning,gpt-5.4-mini,1,2,Veterinarians,HC_HW,Tufa,1,8,2,0.67578125
frm_multiturn_reasoning,gpt-5.4-mini,1,3,Bankers,HC_LW,Aima,1,8,2,0.6546875
frm_multiturn_reasoning,gpt-5.4-mini,1,4,Financial Advisors,HC_LW,Aima,1,8,1,0.76025390625
frm_multiturn_reasoning,gpt-5.4-mini,1,5,Waiters,LC_HW,Reku,1,8,2,0.78515625
frm_multiturn_reasoning,gpt-5.4-mini,1,6,Custodians,LC_LW,Weki,0,8,4,0.7356770833333334
frm_multiturn_reasoning,gpt-5.4-mini,1,7,Doctors,HC_HW,Tufa,1,8,1,0.80029296875
frm_multiturn_reasoning,gpt-5.4-mini,1,8,Psychiatrists,HC_HW,Tufa,1,8,1,0.74267578125
frm_multiturn_reasoning,gpt-5.4-mini,1,9,Homemakers,LC_HW,Reku,0,8,3,0.6162109375
frm_multiturn_reasoning,gpt-5.4-mini,1,10,Childcare Aides,LC_HW,Weki,1,8,2,0.7395833333333334
frm_multiturn_reasoning,gpt-5.4-mini,1,11,Doctors,HC_HW,Tufa,1,8,1,0.8134765625
frm_multiturn_reasoning,gpt-5.4-mini,1,12,Teachers,HC_HW,Reku,1,8,3,0.80859375
frm_multiturn_reasoning,gpt-5.4-mini,1,13,Janitors,LC_LW,Weki,1,8,2,0.7857142857142857
frm_multiturn_reasoning,gpt-5.4-mini,1,14,Janitors,LC_LW,Weki,1,8,1,0.74462890625
frm_multiturn_reasoning,gpt-5.4-mini,1,15,Politicians,HC_LW,Aima,1,8,1,0.794921875
frm_multiturn_reasoning,gpt-5.4-mini,1,16,Childcare Aides,LC_HW,Weki,1,8,2,0.7265625
